QUS,Gusau Airport,Gusau,Nigeria,12.17170,6.69611,1520,1.00,Africa/Lagos
IBA,Ibadan Airport,Ibadan,Nigeria,7.36246,3.97833,725,1.00,Africa/Lagos
ILR,Ilorin International Airport,Ilorin,Nigeria,8.44021,4.49392,1126,1.00,Africa/Lagos
JOS,Yakubu Gowon Airport,Jos,Nigeria,9.63983,8.86905,4232,1.00,Africa/Lagos
KAD,Kaduna Airport,Kaduna,Nigeria,10.69600,7.32011,2073,1.00,Africa/Lagos
KAN,Mallam Aminu International Airport,Kano,Nigeria,12.04760,8.52462,1562,1.00,Africa/Lagos
MIU,Maiduguri International Airport,Maiduguri,Nigeria,11.85530,13.08090,1099,1.00,Africa/Lagos
MDI,Makurdi Airport,Makurdi,Nigeria,7.70388,8.61394,371,1.00,Africa/Lagos
LOS,Murtala Muhammed International Airport,Lagos,Nigeria,6.57737,3.32116,135,1.00,Africa/Lagos
MXJ,Minna Airport,Minna,Nigeria,9.65217,6.46226,834,1.00,Africa/Lagos
PHC,Port Harcourt International Airport,Port Hartcourt,Nigeria,5.01549,6.94959,87,1.00,Africa/Lagos
SKO,Sadiq Abubakar III International Airport,Sokoto,Nigeria,12.91630,5.20719,1010,1.00,Africa/Lagos
YOL,Yola Airport,Yola,Nigeria,9.25755,12.43040,599,1.00,Africa/Lagos
ZAR,Zaria Airport,Zaria,Nigeria,11.13020,7.68581,2170,1.00,Africa/Lagos
